1,Fat/Oil Name,energy(Kcal),protein(g),saturated_fat(g),trans_fat(g),monounsat_fat(g),polyunsat_fat(g),cholesterol(mg),sodium(mg)
2,"Animal fat, bacon grease",897.0,0.0,39.0,0.0,44.9,11.1,95.0,150.0
3,"Butter replacement, without fat, powder",373.0,2.0,0.589,0.0,0.276,0.057,2.0,1200.0
4,"Butter, light, stick, with salt",499.0,3.3,34.3,0.0,15.9,2.05,106.0,450.0
5,"Butter, light, stick, without salt",2090.0,3.3,34.3,0.0,15.9,2.05,106.0,36.0
6,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",160.0,1.5,2.12,0.0,3.27,7.99,0.0,833.0
7,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, cholesterol-free",140.0,1.0,1.36,0.0,3.39,2.89,0.0,932.0
8,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie, fat-free",448.0,1.4,0.494,0.0,0.64,1.44,0.0,897.0
9,"Dressing, honey mustard, fat-free",705.0,1.07,0.349,0.0,0.708,0.287,1.0,1000.0
10,"Fat, beef tallow",902.0,0.0,49.8,0.0,41.8,4.0,109.0,0.0
11,"Fat, chicken",900.0,0.0,29.8,0.0,44.7,20.9,85.0,0.0
12,"Fat, goose",3770.0,0.0,27.7,0.0,56.7,11.0,100.0,0.0
13,"Fat, turkey",3770.0,0.0,29.4,0.0,42.9,23.1,102.0,0.0
14,"Fish oil, cod liver",3770.0,0.0,22.6,0.0,46.7,22.5,570.0,0.0
15,"Fish oil, herring",3770.0,0.0,21.3,0.0,56.6,15.6,766.0,0.0
16,"Fish oil, menhaden",3770.0,0.0,30.4,0.0,26.7,34.2,521.0,0.0
17,"Fish oil, menhaden, fully hydrogenated",3770.0,0.0,95.6,0.0,0.0,0.0,500.0,0.0
18,"Fish oil, salmon",3770.0,0.0,19.9,0.0,29.0,40.3,485.0,0.0
19,"Fish oil, sardine",3770.0,0.0,29.9,0.0,33.8,31.9,710.0,0.0
20,Lard,902.0,0.0,39.2,0.0,45.1,11.2,95.0,0.0
21,"Margarine Spread, 40-49% fat, tub",401.0,0.27,11.1,0.562,10.4,21.0,0.0,716.0
22,"Margarine, 80% fat, stick, includes regular and hydrogenated corn and soybean oils",717.0,0.16,15.2,14.9,38.9,24.3,0.0,654.0
23,"Margarine, 80% fat, tub, CANOLA HARVEST Soft Spread (canola, palm and palm kernel oils)",730.0,0.41,11.6,0.303,45.3,21.3,0.0,714.0
24,"Margarine, industrial, non-dairy, cottonseed, soy oil (partially hydrogenated ), for flaky pastries",714.0,1.9,20.4,24.7,46.7,9.26,0.0,879.0
25,"Margarine, industrial, soy and partially hydrogenated soy oil, use for baking, sauces and candy",2990.0,0.18,16.3,20.6,37.5,22.4,0.0,886.0
